tract_id,population,workers,businesses,total_businesses,population_year,employment_business_year,region_code
23080541010505,617,0.0,0.0,15,2023,2023,23080
23080541010506,561,0.0,0.0,3,2023,2023,23080
23080541010507,579,13.0,7.0,14,2023,2023,23080
23080541010508,581,0.0,0.0,6,2023,2023,23080
23080541010601,546,32.0,5.0,14,2023,2023,23080
23080541010602,615,21.0,11.0,16,2023,2023,23080
23080541010603,560,566.0,126.0,147,2023,2023,23080
23080541010604,524,8.0,8.0,13,2023,2023,23080
23080541010605,550,22.0,14.0,18,2023,2023,23080
23080541010801,0,0.0,0.0,0,2023,2023,23080
23080541010802,0,0.0,0.0,1,2023,2023,23080
23080541020001,522,157.0,75.0,84,2023,2023,23080
23080541020002,412,435.0,143.0,155,2023,2023,23080
23080541020003,439,125.0,35.0,50,2023,2023,23080
23080541020004,445,402.0,150.0,158,2023,2023,23080
23080541020005,414,61.0,31.0,43,2023,2023,23080
23080541020006,432,606.0,11.0,31,2023,2023,23080
23080541020007,567,46.0,11.0,24,2023,2023,23080
23080541020008,462,69.0,0.0,15,2023,2023,23080
23080541020009,513,219.0,36.0,50,2023,2023,23080
23080541020010,462,21.0,7.0,18,2023,2023,23080
23080541020011,643,182.0,110.0,119,2023,2023,23080
23080541020012,558,35.0,15.0,25,2023,2023,23080
23080541020013,475,0.0,0.0,15,2023,2023,23080
23080541020014,433,77.0,46.0,55,2023,2023,23080
23080541020015,503,81.0,50.0,61,2023,2023,23080
23080541020016,435,280.0,111.0,119,2023,2023,23080
23080541020101,513,0.0,0.0,2,2023,2023,23080
23080541020102,497,5.0,0.0,6,2023,2023,23080
23080541020103,502,136.0,30.0,44,2023,2023,23080
23080541020104,399,26.0,6.0,18,2023,2023,23080
23080541020105,379,0.0,0.0,2,2023,2023,23080
23080541020201,645,13.0,13.0,17,2023,2023,23080
23080541020202,636,101.0,43.0,49,2023,2023,23080
23080541020203,659,15.0,7.0,14,2023,2023,23080
23080541020204,759,12.0,7.0,18,2023,2023,23080
23080541020205,618,22.0,6.0,10,2023,2023,23080
23080541020206,581,27.0,7.0,18,2023,2023,23080
23080541020207,696,7.0,7.0,9,2023,2023,23080
23080541020208,524,6.0,6.0,10,2023,2023,23080
23080541020209,610,48.0,13.0,24,2023,2023,23080
23080541020210,683,9.0,0.0,10,2023,2023,23080
23080541020211,668,88.0,31.0,41,2023,2023,23080
23080541020301,701,0.0,0.0,4,2023,2023,23080
23080541020302,951,142.0,44.0,51,2023,2023,23080
23080541020303,633,0.0,0.0,3,2023,2023,23080
23080541020304,700,8.0,0.0,4,2023,2023,23080
23080541020305,704,0.0,0.0,4,2023,2023,23080
23080550010001,582,145.0,16.0,31,2023,2023,23080
23080550010002,370,206.0,22.0,46,2023,2023,23080
23080550010101,573,21.0,0.0,7,2023,2023,23080
23080550010102,387,15.0,0.0,5,2023,2023,23080
23080550010103,404,7.0,0.0,4,2023,2023,23080
23080550010104,585,6.0,0.0,5,2023,2023,23080
23080550010105,585,0.0,0.0,1,2023,2023,23080
23080550010106,552,0.0,0.0,6,2023,2023,23080
23080550010107,512,110.0,31.0,38,2023,2023,23080
23080550010108,560,7.0,0.0,8,2023,2023,23080
23080550010109,611,0.0,0.0,2,2023,2023,23080
23080550010201,686,0.0,0.0,10,2023,2023,23080
